100 120
122.228647113747555863483 122.228647113747555863483 122.228647113747555863483
123.700469666401275503631 123.700469666401275503631 123.700469666401275503631
125.23902226927980052551 125.23902226927980052551 125.23902226927980052551
126.847021347435898519507 126.847021347435898519507 126.847021347435898519507
128.526991789773774144123 128.526991789773774144123 128.526991789773774144123
130.281157634782942977836 130.281157634782942977836 130.281157634782942977836
132.111302998844251987975 132.111302998844251987975 132.111302998844251987975
134.018597242139861691612 134.018597242139861691612 134.018597242139861691612
136.003377885332724872569 136.003377885332724872569 136.003377885332724872569
138.064884700379934656667 138.064884700379934656667 138.064884700379934656667
140.200939005782686308521 140.200939005782686308521 140.200939005782686308521
142.407563932219517255362 142.407563932219517255362 142.407563932219517255362
144.678544865741969260853 144.678544865741969260853 144.678544865741969260853
147.004935136193182643183 147.004935136193182643183 147.004935136193182643183
149.374521086603294861561 149.374521086603294861561 149.374521086603294861561
151.771273640691362061261 151.771273640691362061261 151.771273640691362061261
154.174830701294553136904 154.174830701294553136904 154.174830701294553136904
156.560075612534319589031 156.560075612534319589031 156.560075612534319589031
158.896899420786581913489 158.896899420786581913489 158.896899420786581913489
161.150254450924620641672 161.150254450924620641672 161.150254450924620641672
163.280616775448919497649 163.280616775448919497649 163.280616775448919497649
165.244966213275176869502 165.244966213275176869502 165.244966213275176869502
166.998354888782444049866 166.998354888782444049866 166.998354888782444049866
168.496062892639230312852 168.496062892639230312852 168.496062892639230312852
169.696234703037731605946 169.696234703037731605946 169.696234703037731605946
170.562768617224179479308 170.562768617224179479308 170.562768617224179479308
171.068123425792919078958 171.068123425792919078958 171.068123425792919078958
171.195649382232403468151 171.195649382232403468151 171.195649382232403468151
170.941075335149662350887 170.941075335149662350887 170.941075335149662350887
170.312899574390172574567 170.312899574390172574567 170.312899574390172574567
169.33161591483138863623 169.33161591483138863623 169.33161591483138863623
168.027909762316795649895 168.027909762316795649895 168.027909762316795649895
166.440124535663386495798 166.440124535663386495798 166.440124535663386495798
164.611385116997809063832 164.611385116997809063832 164.611385116997809063832
162.586760103951888822849 162.586760103951888822849 162.586760103951888822849
160.410766396664712374331 160.410766396664712374331 160.410766396664712374331
158.12540315783445521447 158.12540315783445521447 158.12540315783445521447
155.768783598116300481706 155.768783598116300481706 155.768783598116300481706
153.374337920401274004689 153.374337920401274004689 153.374337920401274004689
150.970500162721521064668 150.970500162721521064668 150.970500162721521064668
148.580764589080814630506 148.580764589080814630506 148.580764589080814630506
146.223995785323381824128 146.223995785323381824128 146.223995785323381824128
143.914890858791238770209 143.914890858791238770209 143.914890858791238770209
141.664513471717327774968 141.664513471717327774968 141.664513471717327774968
139.480841762653795967708 139.480841762653795967708 139.480841762653795967708
137.36929202277207195948 137.36929202277207195948 137.36929202277207195948
135.333195804070868462077 135.333195804070868462077 135.333195804070868462077
133.374219750684062546497 133.374219750684062546497 133.374219750684062546497
131.492725356265822256319 131.492725356265822256319 131.492725356265822256319
129.688070818472425571599 129.688070818472425571599 129.688070818472425571599
127.95885996110770577161 127.95885996110770577161 127.95885996110770577161
126.30314449714680336001 126.30314449714680336001 126.30314449714680336001
124.718586239327478892847 124.718586239327478892847 124.718586239327478892847
123.202585616211450769697 123.202585616211450769697 123.202585616211450769697
121.75238228853675082064 121.75238228853675082064 121.75238228853675082064
120.365132959337145734935 120.365132959337145734935 120.365132959337145734935
119.03797074089703755817 119.03797074089703755817 119.03797074089703755817
117.768049745089697921685 117.768049745089697921685 117.768049745089697921685
116.552577933444695190701 116.552577933444695190701 116.552577933444695190701
115.388840712506322461195 115.388840712506322461195 115.388840712506322461195
114.274217290260693857817 114.274217290260693857817 114.274217290260693857817
113.206191415807921885062 113.206191415807921885062 113.206191415807921885062
112.182357799110945961729 112.182357799110945961729 112.182357799110945961729
111.200425241524413877414 111.200425241524413877414 111.200425241524413877414
110.258217291916807312191 110.258217291916807312191 110.258217291916807312191
109.353671069226450640599 109.353671069226450640599 109.353671069226450640599
108.484834752870838769923 108.484834752870838769923 108.484834752870838769923
107.649864131218237162102 107.649864131218237162102 107.649864131218237162102
106.847018509975754341212 106.847018509975754341212 106.847018509975754341212
106.074656212418688028265 106.074656212418688028265 106.074656212418688028265
105.331229848217901690077 105.331229848217901690077 105.331229848217901690077
104.615281484256442467995 104.615281484256442467995 104.615281484256442467995
103.925437816851314209998 103.925437816851314209998 103.925437816851314209998
103.260405418277130706883 103.260405418277130706883 103.260405418277130706883
102.618966109877888470692 102.618966109877888470692 102.618966109877888470692
101.999972498106899365666 101.999972498106899365666 101.999972498106899365666
101.402343697569463643049 101.402343697569463643049 101.402343697569463643049
244.392758768599321683723 244.392758768599321683723 244.392758768599321683723
244.446046915996447523867 244.446046915996447523867 244.446046915996447523867
244.501213994621963365717 244.501213994621963365717 244.501213994621963365717
244.558353756486411612059 244.558353756486411612059 244.558353756486411612059
244.617565643985500400959 244.617565643985500400959 244.617565643985500400959
244.678955151220065999951 244.678955151220065999951 244.678955151220065999951
244.742634201033609997467 244.742634201033609997467 244.742634201033609997467
244.808721535839367788867 244.808721535839367788867 244.808721535839367788867
244.877343119326496889698 244.877343119326496889698 244.877343119326496889698
244.948632544866086391266 244.948632544866086391266 244.948632544866086391266
245.022731444801195266336 245.022731444801195266336 245.022731444801195266336
245.099789892704080784824 245.099789892704080784824 245.099789892704080784824
245.179966788000541555448 245.179966788000541555448 245.179966788000541555448
245.263430208946488164656 245.263430208946488164656 245.263430208946488164656
245.350357715608197395341 245.350357715608197395341 245.350357715608197395341
245.440936579017630947419 245.440936579017630947419 245.440936579017630947419
245.535363905769969505855 245.535363905769969505855 245.535363905769969505855
245.633846618657543103836 245.633846618657543103836 245.633846618657543103836
245.736601243086369095181 245.736601243086369095181 245.736601243086369095181
245.843853435508776783536 245.843853435508776783536 245.843853435508776783536
